name,location,price,area,bhk
antaranga apartment nagerbazar,"2 BHK Flat in Nager Bazar, Jessore Road",₹52 Lac,784 sqft,2 BHK
"Vedic Village, Kolkata, Kolkata East","5 Bedroom House in Vedic Village, Kolkata",₹3.4 Cr,"10,800 sqft",5 BHK
Dream Park Apartment,"2 BHK Flat in Sonarpur, Kolkata",₹45 Lac,850 sqft,2 BHK
"Siddha Waterfront
3.7","3 BHK Flat in Khardah, BT Road",₹55 Lac,"1,175 sqft",3 BHK
Tubai Apartment,"2 BHK Flat in Satyen Park, Thakurpukur",₹28.5 Lac,950 sqft,2 BHK
"Siddha Suburbia
3.9","2 BHK Flat in Baruipur, Kolkata South",₹55 Lac,995 sqft,2 BHK
chowringhee house,"2 BHK Flat in Park Street, Kolkata",₹1.3 Cr,"1,116 sqft",2 BHK
Magnolia Sports City,"2 BHK Flat in Barrackpore, Kolkata",₹32 Lac,796 sqft,2 BHK
Maya apartment,"2 BHK Flat in Boral, Kolkata",₹29 Lac,850 sqft,2 BHK
"IRWO Rail Vihar
4.0","3 BHK Flat in New Town, Kolkata",₹1.4 Cr,"1,200 sqft",3 BHK
On Request,"2 BHK Independent Builder Floor in Mandirtala, Shibpur",₹47 Lac,820 sqft,2 BHK
Nirala Apartment,"2 BHK Flat in Boral, Kolkata",₹18 Lac,500 sqft,2 BHK
"Fortune Township
4.3","3 BHK Flat in Barasat, Kolkata North",₹40 Lac,"1,101 sqft",3 BHK
"Durganagar, Belgharia Expressway, Kolkata, Kolkata North","6 Bedroom House in Durganagar, Belgharia Expressway, Kolkata",₹75 Lac,"1,550 sqft",6 BHK
"Eden City Maheshtala
3.9","3 BHK Flat in Maheshtala, Kolkata",₹42 Lac,"1,236 sqft",3 BHK
Magnolia Mulberry,"3 BHK Flat in New Town, Kolkata",₹73.5 Lac,876 sqft,3 BHK
Symphony Serenity,"2 BHK Flat in Kamalgazi, Southern Bypass",₹52 Lac,937 sqft,2 BHK
"Small complex, shantiuddan","3 BHK Flat in Behala Chowrasta, Kolkata",₹1.3 Cr,"2,000 sqft",3 BHK
R K Utthan 2,"3 BHK Flat in Chinar Park, Kolkata",₹95 Lac,"1,560 sqft",3 BHK
South City Villa,"3 BHK Flat in Tara Park, Behala",₹85 Lac,"1,435 sqft",3 BHK
Stadium View Chs Sector III Salt Lake,"3 BHK Flat in Sector 3 Salt Lake, Kolkata",₹95 Lac,"1,100 sqft",3 BHK
Ambuja Uddipa The Condoville,"2 BHK Flat in Sinthee, BT Road",₹85 Lac,919 sqft,2 BHK
sailoke apartment,"1 BHK Flat in Jadavpur, Kolkata",₹26 Lac,400 sqft,1 BHK
Starlite Sunny Seasons,"2 BHK Flat in Garia, Kolkata",₹45 Lac,880 sqft,2 BHK
"Sanjeevani Enclave, 406 GT Raod","2 BHK Flat in Bally, Howrah",₹72 Lac,"1,090 sqft",2 BHK
"Shankh Mani
3.4","2 BHK Flat in Tollygunge, Kolkata",₹90 Lac,"1,316 sqft",2 BHK
"West Anandapally, Putiary, Kolkata, Kolkata South","3 Bedroom House in West Anandapally, Putiary, Kolkata",₹33 Lac,"1,800 sqft",3 BHK
"Sunflower Garden
3.9","4 BHK Flat in Topsia, EM Bypass",₹2.19 Cr,"1,955 sqft",4 BHK
SGIL Gardenia,"3 BHK Flat in Narendrapur, Kolkata",₹48 Lac,"1,127 sqft",3 BHK
Swami Vivekananda Smriti Bhavan,"4 BHK Flat in Chiriamore, BT Road",₹90 Lac,"1,700 sqft",4 BHK
Matri Ashish,"3 BHK Flat in Tobin Road, Kolkata",₹45 Lac,"1,008 sqft",3 BHK
Upohar The Condoville,"3 BHK Flat in Garia, Kolkata",₹1.9 Cr,"2,079 sqft",3 BHK
Rahul Plaza,"2 BHK Flat in Behala, Kolkata",₹50 Lac,831 sqft,2 BHK
"Prince Anwar Shah Rd, Kolkata, Kolkata South","4 Bedroom House in Prince Anwar Shah Rd, Kolkata",₹80 Lac,"1,505 sqft",4 BHK
"Hindmotor, Uttarpara, Hooghly","3 Bedroom House in Hindmotor, Uttarpara",₹62 Lac,"1,800 sqft",3 BHK
Hiland Prinsep,"3 BHK Flat in Maheshtala, Kolkata",₹80 Lac,"1,790 sqft",3 BHK
Skyline Aparna,"3 BHK Flat in Park Circus, Ballygunge",₹2.39 Cr,"1,607 sqft",3 BHK
Srijan Botanica,"4 Bedroom House in EM Bypass, Kolkata South",₹1.75 Cr,"1,966 sqft",4 BHK
Ankur Apartment,"2 BHK Flat in Baguiati, Kolkata",₹30 Lac,780 sqft,2 BHK
Philips Parama Abasan,"4 Bedroom House in Behala, Kolkata",₹1.3 Cr,"1,650 sqft",4 BHK
"farsana tower , 58 topsia road beside rambow cable","2 BHK Flat in EM Bypass, Kolkata South",₹36 Lac,676 sqft,2 BHK
Lakshmi Debi Bhawan,"2 BHK Flat in Sakher Bazar, Barisha",₹48.5 Lac,950 sqft,2 BHK
"Eden City Maheshtala
3.9","3 BHK Flat in Maheshtala, Kolkata",₹45 Lac,956 sqft,3 BHK
"Fortune Heights
4.0","3 BHK Flat in Barasat, Kolkata North",₹62 Lac,"1,093 sqft",3 BHK
Ganguly 4 Sight Model Town,"2 BHK Flat in Garia, Kolkata",₹65 Lac,972 sqft,2 BHK
Manor Aspira Aashiyana,"3 BHK Flat in Rajarhat, Kolkata",₹60 Lac,"1,124 sqft",3 BHK
Signum Windmere,"2 BHK Flat in Madhyamgram, Kolkata",₹46 Lac,955 sqft,2 BHK
Asha CHS,"2 BHK Flat in Tollygunge Phari, Kolkata",₹1.15 Cr,"1,068 sqft",2 BHK
Russa House,"3 BHK Flat in Tollygunge, Kolkata",₹1.1 Cr,"1,358 sqft",3 BHK
on request,"2 BHK Flat in Jatindas Nagar, BT Road",₹45 Lac,750 sqft,2 BHK
"Behala Chowrasta, Kolkata, Kolkata South","2 BHK Independent Builder Floor in Behala Chowrasta, Kolkata",₹40 Lac,855 sqft,2 BHK
"Sherwood Estate
4.0","2 BHK Flat in Narendrapur, Kolkata",₹60 Lac,927 sqft,2 BHK
Mayuree Apartment,"3 BHK Flat in A Block Lake Town, Kolkata",₹75 Lac,"1,384 sqft",3 BHK
"Baguihati, VIP Road, Kolkata North","9 Bedroom House in Baguihati, VIP Road",₹3.9 Cr,"2,879 sqft",9 BHK
NO. 8,"2 BHK Flat in Jodhpur Park, Kolkata",₹1.02 Cr,"1,050 sqft",2 BHK
Subarna Bhoomi,"2 BHK Flat in Dum Dum, Kolkata",₹70 Lac,"1,178 sqft",2 BHK
Rishi Pranaya,"2 BHK Flat in Rajarhat, Kolkata",₹90 Lac,954 sqft,2 BHK
"Tirupati Galaxy,","2 BHK Flat in Dum Dum Cantt, South Dumdum",₹45 Lac,"1,100 sqft",2 BHK
Tirath Devi Appartment,"3 BHK Flat in Bablatala, Rajarhat",₹70 Lac,"1,048 sqft",3 BHK
Charu Villa,"3 BHK Flat in Dum Dum, Kolkata",₹87 Lac,"1,330 sqft",3 BHK
"Lake Gardens, Kolkata, Kolkata South","3 BHK Independent Builder Floor in Lake Gardens, Kolkata",₹82 Lac,"1,278 sqft",3 BHK
Saptak Apartment,"4 BHK Flat in Sangati Colony, Netaji Nagar, Kolkata",₹84 Lac,"1,600 sqft",4 BHK
"Uttrayan Apartment-I, Uttrayan","3 BHK Flat in Chinsurah, Hooghly",₹56 Lac,"1,116 sqft",3 BHK
"Fortune City
3.7","2 BHK Flat in Madhyamgram, Kolkata",₹32 Lac,819 sqft,2 BHK
South Wind,"3 BHK Flat in Rajpur, Southern Bypass",₹85 Lac,"1,265 sqft",3 BHK
CMC Housing Society,"1 BHK Flat in Purba Barisha, Kolkata",₹16.5 Lac,500 sqft,1 BHK
Swarnabhoomi,"3 BHK Flat in Santragachi, Howrah",₹57.5 Lac,"1,500 sqft",3 BHK
Orchard Avaasa,"2 BHK Flat in Chinar Park, Kolkata",₹85 Lac,"1,053 sqft",2 BHK
Promod Bhavan,"2 BHK Flat in Jadavpur, Kolkata",₹40 Lac,525 sqft,2 BHK
Central Government Welfare Housing Society,"6 Bedroom House in Pailan, Diamond Harbour Road",₹91 Lac,"2,160 sqft",6 BHK
"Oswal Orchard County
4.1","4 BHK Flat in Belgharia, BT Road",₹1.15 Cr,"1,817 sqft",4 BHK
Ozone,"3 BHK Flat in EM Bypass, Kolkata South",₹1.45 Cr,"1,233 sqft",3 BHK
"Prince Anwar Shah Rd, Kolkata, Kolkata South","8 Bedroom House in Prince Anwar Shah Rd, Kolkata",₹2 Cr,"3,300 sqft",8 BHK
Duplex,"2 BHK Flat in Kasba, Kolkata",₹46 Lac,780 sqft,2 BHK
Ambey Green,"2 BHK Flat in Rajarhat, Kolkata",₹50 Lac,790 sqft,2 BHK
The Ektaa Hibiscus,"3 BHK Flat in Tangra, Kolkata",₹1.8 Cr,"1,750 sqft",3 BHK
Jupiter Airport Residency,"2 BHK Flat in Birati, Kolkata",₹58 Lac,991 sqft,2 BHK
Shubham Residency,"3 BHK Flat in 226 Nayabad Avenue, Kolkata South",₹65 Lac,"1,200 sqft",3 BHK
Vinayak Pride,"3 BHK Flat in Kamalgazi, Southern Bypass",₹72 Lac,"1,371 sqft",3 BHK
"Bengal Peerless Avidipta Phase 2
4.1","3 BHK Flat in Mukundapur, Kolkata",₹2.4 Cr,"1,677 sqft",3 BHK
Akanto apon,"2 BHK Flat in Madurdaha, EM Bypass",₹55 Lac,920 sqft,2 BHK
Ashirbad,"3 Bedroom House in James Long Sarani, Kolkata",₹1.2 Cr,"1,250 sqft",3 BHK
Ananda Apartment,"2 BHK Flat in Nager Bazar, Jessore Road",₹62 Lac,"1,085 sqft",2 BHK
Prudent Prana,"3 BHK Flat in Garia, Kolkata",₹80 Lac,"1,300 sqft",3 BHK
Basu Rupasi Abasan,"2 BHK Flat in Rajarhat, Kolkata",₹31 Lac,907 sqft,2 BHK
"Tollygunge, Kolkata, Kolkata South","5 Bedroom House in Tollygunge, Kolkata",₹4 Cr,"4,500 sqft",5 BHK
"Agarpara, Panihati, Kolkata North","1 BHK Independent Builder Floor in Agarpara, Panihati",₹11.5 Lac,460 sqft,1 BHK
SURYA NIWAS HOUSING SOCIETY,"2 BHK Flat in Park Circus, Ballygunge",₹74 Lac,917 sqft,2 BHK
Santanu Apartment,"3 BHK Flat in Kasba, Kolkata",₹1.1 Cr,"1,370 sqft",3 BHK
sibon road,"4 Bedroom House in Khardah, BT Road",₹50 Lac,"1,295 sqft",4 BHK
Imperial Riddhi Siddhi.,"2 BHK Flat in Joka, Kolkata South",₹36 Lac,709 sqft,2 BHK
"Swan Court
3.1","2 BHK Flat in New Town, Kolkata",₹80 Lac,"1,012 sqft",2 BHK
"Garia, Kolkata, Kolkata South","4 Bedroom House in Garia, Kolkata",₹1 Cr,"1,500 sqft",4 BHK
Kalindi Housing Estate,"2 BHK Flat in Lake Town, Kolkata",₹42 Lac,850 sqft,2 BHK
Rupayan,"3 BHK Flat in Jodhpur Park, Kolkata",₹1.5 Cr,"1,288 sqft",3 BHK
Bashbhumi Apartment,"2 BHK Flat in Garia, Kolkata",₹35 Lac,925 sqft,2 BHK
"Bosepukur, Kasba, Kolkata South","2 BHK Independent Builder Floor in Bosepukur, Kasba",₹62 Lac,950 sqft,2 BHK
Rajendra Apartments,"2 BHK Flat in Patipukur, South Dumdum",₹45 Lac,696 sqft,2 BHK
LOKENATH HOUSE,"3 BHK Flat in Halisahar, Kanchrapara, North 24 Parganas",₹34.32 Lac,"1,144 sqft",3 BHK
"Kaikhali, VIP Road, Kolkata North","3 Bedroom House in Kaikhali, VIP Road",₹65 Lac,"1,025 sqft",3 BHK
Purbashree Samvaya,"2 BHK Flat in Entally, Kolkata",₹67 Lac,707 sqft,2 BHK
Daffodil Duke Residency,"2 BHK Flat in Tollygunge, Kolkata",₹90 Lac,"1,090 sqft",2 BHK
Diamond City North Jessore Road,"3 BHK Independent Builder Floor in Satgachi, South Dumdum",₹1.47 Cr,"1,567 sqft",3 BHK
Mayfair Parkview,"3 BHK Flat in New Town, Kolkata",₹75 Lac,"1,100 sqft",3 BHK
"Godrej Prakriti
4.2","2 BHK Flat in Sodepur, Kolkata North",₹56 Lac,996 sqft,2 BHK
Om Niwas,"3 BHK Flat in Silpara, Barisha",₹75 Lac,"1,490 sqft",3 BHK
Teesta Torsha Housing,"3 BHK Flat in New Town Action area 1A, Kolkata",₹1.5 Cr,"1,122 sqft",3 BHK
"Dobson Lane, Madhusudan Apartment","2 BHK Flat in Shibpur, Howrah",₹59.95 Lac,"1,200 sqft",2 BHK
Banalata Apartment,"3 BHK Flat in Haltu, Kolkata",₹60 Lac,"1,100 sqft",3 BHK
"Merlin The One
3.9","3 BHK Flat in Tollygunge, Kolkata",₹1.7 Cr,"1,040 sqft",3 BHK
"light house, Ram Krishna pally","2 BHK Flat in Mukundapur, Kolkata",₹60 Lac,940 sqft,2 BHK
"Behala, Kolkata, Kolkata South","5 Bedroom House in Behala, Kolkata",₹85 Lac,"1,215 sqft",5 BHK
Jain Dream World City,"3 BHK Flat in Joka, Kolkata South",₹55 Lac,"1,010 sqft",3 BHK
"Shantiniketan appartment, Behala","2 BHK Flat in Behala, Kolkata",₹68 Lac,"1,296 sqft",2 BHK
Icche 3 Brahmapur South end,"2 BHK Flat in Garia, Kolkata",₹20 Lac,600 sqft,2 BHK
Shubhashisham,"2 BHK Flat in Desh Bandhu Nagar, Baguiati",₹29 Lac,795 sqft,2 BHK
"New Town, Kolkata, Kolkata East","3 BHK Independent Builder Floor in New Town, Kolkata",₹75 Lac,"1,180 sqft",3 BHK
ankur apartment,"2 BHK Flat in Behala Chowrasta, Kolkata",₹35 Lac,860 sqft,2 BHK
Ujjala Complex,"2 BHK Flat in New Town, Kolkata",₹1.3 Cr,"13,000 sqft",2 BHK
Ambey Eco Valley,"2 BHK Flat in New Town, Kolkata",₹90 Lac,941 sqft,2 BHK
Karunamoyee apartment,"2 BHK Flat in Bally, Howrah",₹38 Lac,"1,050 sqft",2 BHK
"Neerab Apartment,","2 BHK Flat in Ballygunge Park, Kolkata",₹1.25 Cr,972 sqft,2 BHK
RAILWAY OFFICERS COOP HOUSING SOCIETY,"2 BHK Flat in Ballygunge Park, Kolkata",₹75 Lac,850 sqft,2 BHK
Ganguly 4 Sight Model Town,"2 BHK Flat in Garia, Kolkata",₹68 Lac,972 sqft,2 BHK
Ganguly 4 Sight Model Town,"2 BHK Flat in Garia, Kolkata",₹63 Lac,972 sqft,2 BHK
Imperial Riddhi Siddhi,"3 BHK Flat in Joka, Kolkata South",₹41 Lac,958 sqft,3 BHK
"Rishi Ecoview
3.8","2 BHK Flat in New Town, Kolkata",₹90 Lac,"1,350 sqft",2 BHK
on request,"2 BHK Flat in Rekjuani, Kolkata",₹31 Lac,822 sqft,2 BHK
Mani Casa,"3 BHK Flat in New Town, Kolkata",₹2 Cr,"1,515 sqft",3 BHK
Chapala Debkunja Complex,"2 BHK Flat in Madhyamgram, Kolkata",₹20 Lac,694 sqft,2 BHK
"Fort Oasis
3.7","3 BHK Flat in Ballygunge, Kolkata",₹2.25 Cr,"1,588 sqft",3 BHK
The Elite Tower,"3 BHK Flat in Purba Sinthi, Kolkata",₹55 Lac,"1,051 sqft",3 BHK
Delux Complex,"2 BHK Flat in Birati, Kolkata",₹27 Lac,716 sqft,2 BHK
Manimala Residency,"2 BHK Flat in East Balia, Garia",₹34 Lac,848 sqft,2 BHK
ANAMIKA CHS,"3 BHK Flat in Action Area 1, Kolkata",₹95 Lac,"1,480 sqft",3 BHK
Irabati Apartment,"3 BHK Flat in Jadavpur, Kolkata",₹60 Lac,"1,250 sqft",3 BHK
"South City
3.9","4 BHK Flat in Prince Anwar Shah Rd, Kolkata",₹4 Cr,"2,068 sqft",4 BHK
"Lokenath Apartments, Silpara","2 BHK Flat in Silpara, Barisha",₹27 Lac,645 sqft,2 BHK
"Patuli, EM Bypass, Kolkata South","7 Bedroom House in Patuli, EM Bypass",₹2 Cr,"12,000 sqft",7 BHK
dum,"2 BHK Flat in Dum Dum Park, Kolkata",₹45 Lac,921 sqft,2 BHK
Netajinagar police station,"3 BHK Flat in Tollygunge, Kolkata",₹55 Lac,955 sqft,3 BHK
"New Panchanantala, Putiary, Kolkata, Kolkata South","2 BHK Independent Builder Floor in New Panchanantala, Putiary, Kolkata",₹26 Lac,680 sqft,2 BHK
"Urbana
3.7","3 BHK Flat in EM Bypass, Kolkata South",₹3.5 Cr,"2,050 sqft",3 BHK
"New Barrakpur, Kolkata, Kolkata North","2 BHK Independent Builder Floor in New Barrakpur, Kolkata",₹26 Lac,945 sqft,2 BHK
On Request,"3 BHK Flat in Rajarhat, Kolkata",₹39 Lac,"1,106 sqft",3 BHK
"Mani Vista
3.8","3 BHK Flat in Tollygunge, Kolkata",₹2.76 Cr,"1,822 sqft",3 BHK
Jeet Group,"2 BHK Independent Builder Floor in Nayabad, Kolkata",₹45 Lac,981 sqft,2 BHK
"Siddha Eden LakeVille
3.9","3 BHK Flat in BT Road, Kolkata",₹1.25 Cr,"1,450 sqft",3 BHK
Jeet Group,"2 BHK Independent Builder Floor in Nayabad, Kolkata",₹39.15 Lac,870 sqft,2 BHK
Heavens Gateway,"2 BHK Flat in Narendrapur, Kolkata",₹31 Lac,911 sqft,2 BHK
Magnolia Prestige Housing Complex,"2 BHK Flat in Bishnupur, Kolkata",₹40 Lac,850 sqft,2 BHK
Sova Villa,"2 BHK Flat in Madhyamgram, Kolkata",₹29.09 Lac,831 sqft,2 BHK
Jeet Group,"3 BHK Independent Builder Floor in Purbalok, EM Bypass",₹84.57 Lac,"1,301 sqft",3 BHK
Raj Gardens,"4 BHK Flat in sarat Chatterjee Avenue, Kolkata South",₹3 Cr,"2,400 sqft",4 BHK
Jeet Group,"3 BHK Flat in Nayabad, Kolkata",₹49.86 Lac,"1,108 sqft",3 BHK
"Shrachi Greenwood Elements
3.9","2 BHK Flat in New Town, Kolkata",₹56 Lac,822 sqft,2 BHK
Aditi Apartment,"3 BHK Flat in Dum Dum Cantt, South Dumdum",₹52 Lac,"1,260 sqft",3 BHK
"South City
4.0","3 BHK Flat in Prince Anwar Shah Rd, Kolkata",₹2.35 Cr,"1,472 sqft",3 BHK
Lake Town Complex,"3 BHK Flat in Lake Town, Kolkata",₹1 Cr,"1,300 sqft",3 BHK
"Mukundapur Colony, Santoshpur, Kolkata South","3 BHK Independent Builder Floor in Mukundapur Colony, Santoshpur",₹64.9 Lac,"1,180 sqft",3 BHK
"Eden City Maheshtala
3.9","3 BHK Flat in Maheshtala, Kolkata",₹41.5 Lac,"1,524 sqft",3 BHK
Shivshakti Apartment,"3 BHK Flat in Agarpara, Panihati",₹40 Lac,"1,260 sqft",3 BHK
"The Soul
3.8","2 BHK Flat in Rajarhat, Kolkata",₹80 Lac,610 sqft,2 BHK
"Siddha Happyville
4.2","3 BHK Flat in Rajarhat, Kolkata",₹1.13 Cr,"1,397 sqft",3 BHK
"Elita Garden Vista
4.3","3 BHK Flat in New Town, Kolkata",₹1.24 Cr,"1,742 sqft",3 BHK
Shivalaya apartment,"2 BHK Independent Builder Floor in Sakher Bazar, Barisha",₹45 Lac,"1,220 sqft",2 BHK
DTC Southern Heights,"3 BHK Flat in Joka, Kolkata South",₹83 Lac,"1,370 sqft",3 BHK
RDB Regent Ganga,"3 BHK Flat in Uttarpara, Hooghly",₹55 Lac,"1,196 sqft",3 BHK
"Shrachi Greenwood Nest
3.8","3 BHK Flat in New Town, Kolkata",₹1.65 Cr,"1,748 sqft",3 BHK
