name,location,price,area,bhk
Dadavai Apartment,"2 BHK Flat in Kudghat, Tollygunge",₹50 Lac,900 sqft,2 BHK
On Request,"2 BHK Flat in Tollygunge, Kolkata",₹42 Lac,700 sqft,2 BHK
Mini Complex,"2 BHK Flat in Mukundapur, Kolkata",₹28 Lac,780 sqft,2 BHK
sarovaar,"1 BHK Flat in Action Area 3, Kolkata",₹31.13 Lac,575 sqft,1 BHK
sarovaar,"3 BHK Flat in Action Area 3, Kolkata",₹59.05 Lac,"1,125 sqft",3 BHK
On Request,"3 BHK Flat in New Alipore, Kolkata",₹1.75 Cr,"1,750 sqft",3 BHK
Aryan Apartment,"2 BHK Flat in Nayabad, Kolkata",₹42 Lac,849 sqft,2 BHK
"Shivam Uttara, Uttarpara","2 BHK Flat in Uttarpara, Hooghly",₹23.24 Lac,845 sqft,2 BHK
"Shivam prisma, Uttarpara","2 BHK Flat in Makhla Government Colony, Uttarpara",₹22.36 Lac,860 sqft,2 BHK
"Om Tower, Konnagar","2 BHK Flat in Nabagram, Hooghly",₹17.18 Lac,731 sqft,2 BHK
"Surya Tower, Konnagar","3 BHK Flat in Nabagram, Hooghly",₹27.45 Lac,"1,220 sqft",3 BHK
"Surya Tower, Konnagar","2 BHK Flat in Nabagram, Hooghly",₹19.13 Lac,850 sqft,2 BHK
"Surya Tower, Konnagar","2 BHK Flat in Nabagram, Hooghly",₹21.6 Lac,960 sqft,2 BHK
"Udayan Apartment, Konnagar","2 BHK Flat in Konnagar, Hooghly",₹17.88 Lac,715 sqft,2 BHK
"Shivam Vista, Uttarpara","2 BHK Flat in Bhadrakali, Uttarpara",₹24.3 Lac,810 sqft,2 BHK
Shivam Residency,"3 BHK Flat in Bhadrakali, Uttarpara",₹27.51 Lac,885 sqft,3 BHK
"Bengal Abasan Urban Sabujayan
3.9","3 BHK Flat in Mukundapur, Kolkata",₹69 Lac,"1,256 sqft",3 BHK
Aryan Alivia Apartment,"2 BHK Flat in Mukundapur, Kolkata",₹40.75 Lac,849 sqft,2 BHK
"Gouri Plaza NEW BOOKING, Agarpara B T Road","3 BHK Flat in Agarpara, Panihati",₹27 Lac,"1,000 sqft",3 BHK
"Manik Pir, Bhadrakali Uttarpara","2 BHK Flat in Bhadrakali, Uttarpara",₹26.6 Lac,950 sqft,2 BHK
Tara Ma Enterprises,"3 BHK Flat in New Town, Kolkata",₹75 Lac,"1,480 sqft",3 BHK
On Request,"2 BHK Flat in New Town, Kolkata",₹58 Lac,959 sqft,2 BHK
Purna Laxmi Apartment,"2 BHK Flat in Mahamayatala, Garia",₹40 Lac,977 sqft,2 BHK
Sweet Snehalata,"3 BHK Flat in Sodepur, Kolkata North",₹34 Lac,"1,050 sqft",3 BHK
Mini Complex,"2 BHK Independent Builder Floor in New Garia, Kolkata",₹38.6 Lac,804 sqft,2 BHK
On Request,"4 Bedroom House in Madhyamgram, Kolkata",₹65 Lac,"2,000 sqft",4 BHK
On Request,"4 Bedroom House in Madhyamgram, Kolkata",₹65 Lac,"2,200 sqft",4 BHK
"Bengal Abasan Urban Sabujayan
3.9","3 BHK Flat in Mukundapur, Kolkata",₹79.5 Lac,"1,489 sqft",3 BHK
"Bengal Abasan Urban Sabujayan
3.9","3 BHK Flat in Mukundapur, Kolkata",₹78 Lac,"1,466 sqft",3 BHK
"Sherwood Estate
4.0","3 BHK Flat in Narendrapur, Kolkata",₹80 Lac,"1,410 sqft",3 BHK
"Sherwood Estate
4.0","3 BHK Flat in Narendrapur, Kolkata",₹67 Lac,"1,400 sqft",3 BHK
"Sherwood Estate
4.0","3 BHK Flat in Narendrapur, Kolkata",₹70 Lac,"1,304 sqft",3 BHK
"Sherwood Estate
4.0","3 BHK Flat in Narendrapur, Kolkata",₹66 Lac,"1,320 sqft",3 BHK
"Sherwood Estate
4.0","3 BHK Flat in Narendrapur, Kolkata",₹64 Lac,"1,250 sqft",3 BHK
"Sherwood Estate
4.0","2 BHK Flat in Narendrapur, Kolkata",₹50 Lac,950 sqft,2 BHK
"South City
4.0","3 BHK Flat in Prince Anwar Shah Rd, Kolkata",₹2.15 Cr,"1,458 sqft",3 BHK
On request,"3 BHK Flat in Madurdaha, EM Bypass",₹84 Lac,"1,700 sqft",3 BHK
On Request,"3 BHK Flat in Madurdaha, EM Bypass",₹50 Lac,"1,150 sqft",3 BHK
On request,"2 BHK Flat in Madurdaha, EM Bypass",₹38.5 Lac,850 sqft,2 BHK
"PS ONE 10
4.2","3 BHK Flat in New Town, Kolkata",₹1.5 Cr,"1,100 sqft",3 BHK
BCT Sonar Sansar,"3 BHK Flat in Sonarpur, Kolkata",₹45 Lac,"1,308 sqft",3 BHK
On Request New,"3 BHK Flat in MG Road South, Kolkata",₹69.86 Lac,"1,383 sqft",3 BHK
Kavi Nazrul Metro,"3 BHK Independent Builder Floor in Garia, Kolkata",₹57 Lac,"1,275 sqft",3 BHK
Kavi Nazrul Metro,"4 BHK Independent Builder Floor in Garia, Kolkata",₹1.05 Cr,"1,870 sqft",4 BHK
Sugam Sudhir,"3 BHK Flat in Garia, Kolkata",₹1.25 Cr,"1,763 sqft",3 BHK
On Request,"3 BHK Flat in Prince Anwarshaw Road connector, Kolkata South",₹93 Lac,"1,390 sqft",3 BHK
Shyam Enclave,"3 BHK Flat in Bhadrakali, Uttarpara",₹28.75 Lac,980 sqft,3 BHK
Suvo Sai,"2 BHK Flat in Nabagram, Hooghly",₹16.8 Lac,700 sqft,2 BHK
Kavi Nazrul Metro,"2 BHK Independent Builder Floor in Garia, Kolkata",₹45 Lac,915 sqft,2 BHK
Swapno Apartment,"2 BHK Flat in New Garia, Kolkata",₹42 Lac,875 sqft,2 BHK
Jai Mata Di Apartment,"2 BHK Flat in Nabagram, Hooghly",₹19.44 Lac,810 sqft,2 BHK
"Bengal Peerless Avidipta Phase 2
4.1","3 BHK Flat in Mukundapur, Kolkata",₹3.1 Cr,"1,677 sqft",3 BHK
on request,"2 BHK Flat in Kadamtala, Kolkata South",₹20 Lac,600 sqft,2 BHK
"NBCC Vibgyor Towers
3.7","2 BHK Flat in New Town, Kolkata",₹77 Lac,"1,200 sqft",2 BHK
Sanjeeva Town Duplex,"4 BHK Flat in Action Area 1, Kolkata",₹3.62 Cr,"2,233 sqft",4 BHK
Residential Apartment,"5 BHK Flat in Selimpur, Southern Avenue",₹2.45 Cr,"2,800 sqft",5 BHK
Siddha Pinewoods,"3 BHK Flat in Rajarhat, Kolkata",₹90 Lac,"1,230 sqft",3 BHK
"Bengal Dcl Uttara
3.8","3 BHK Flat in New Town, Kolkata",₹1.75 Cr,"2,633 sqft",3 BHK
Residential Apartment,"3 BHK Flat in Rajabasanta Roy Road, Kolkata",₹1.65 Cr,"1,480 sqft",3 BHK
Residential Apartment,"3 BHK Flat in Hindustan Park, Golpark, Kolkata",₹2.3 Cr,"2,100 sqft",3 BHK
SGIL Residenzza,"2 BHK Flat in Airport, Dum Dum",₹47 Lac,996 sqft,2 BHK
WBIDFC Sankalpa 2,"3 BHK Flat in Rajarhat, Kolkata",₹1.42 Cr,"1,453 sqft",3 BHK
Anupama Co operative Society,"3 BHK Flat in VIP Road, Kolkata",₹52 Lac,"1,150 sqft",3 BHK
"DLF New Town Heights
3.8","3 BHK Flat in New Town, Kolkata",₹1.12 Cr,"1,525 sqft",3 BHK
"Ideal AquaView
3.7","3 BHK Flat in New Town, Kolkata",₹1.1 Cr,"1,475 sqft",3 BHK
Dream home Bhagirathi,"3 BHK Flat in Birati, Kolkata",₹37.28 Lac,"1,065 sqft",3 BHK
"Tata Avenida
4.0","3 BHK Flat in New Town, Kolkata",₹3.02 Cr,"2,385 sqft",3 BHK
Shib apartment,"2 BHK Flat in Birati, Kolkata",₹28.8 Lac,720 sqft,2 BHK
residential apartment,"2 BHK Flat in Jodhpur Park, Kolkata",₹1.12 Cr,"1,350 sqft",2 BHK
"Modello Highs
3.4","3 BHK Flat in EM Bypass, Kolkata South",₹1.72 Cr,"1,822 sqft",3 BHK
Residential Apartment,"2 BHK Flat in Prince Anwarshaw Road connector, Kolkata South",₹55 Lac,975 sqft,2 BHK
Merlin Verve,"3 BHK Flat in Tollygunge, Kolkata",₹1.3 Cr,986 sqft,3 BHK
Residential Apartment,"2 BHK Flat in Prince Anwar Shah Rd, Kolkata",₹1.2 Cr,"1,130 sqft",2 BHK
Upohar The Condoville,"3 BHK Flat in Garia, Kolkata",₹1.95 Cr,"2,079 sqft",3 BHK
Gk mansion,"2 BHK Flat in Birati, Kolkata",₹25.76 Lac,736 sqft,2 BHK
"Bengal Peerless Avidipta Phase 2
4.1","2 BHK Flat in Mukundapur, Kolkata",₹98 Lac,920 sqft,2 BHK
On request,"3 BHK Flat in New Town Action Area 2D, Kolkata",₹92 Lac,"1,479 sqft",3 BHK
On request,"3 BHK Flat in New Town Action Area 2D, Kolkata",₹80 Lac,"1,240 sqft",3 BHK
NABANKUR,"3 BHK Flat in New Town, Kolkata",₹72 Lac,"1,100 sqft",3 BHK
"Modello Highs
3.4","3 BHK Flat in EM Bypass, Kolkata South",₹1.59 Cr,"1,807 sqft",3 BHK
URBAN RESIDENCY CO OPRATIVE,"2 BHK Flat in New Town, Kolkata",₹63 Lac,"1,080 sqft",2 BHK
on request,"2 BHK Flat in DD Block Newtown, Action Area 1",₹60 Lac,840 sqft,2 BHK
on request,"2 BHK Flat in DD Block Newtown, Action Area 1",₹60 Lac,841 sqft,2 BHK
On Request New,"2 BHK Independent Builder Floor in Kalikapur, Kolkata",₹37.34 Lac,680 sqft,2 BHK
GM Meena Florence,"2 BHK Flat in Dash Drone, Rajarhat",₹45 Lac,925 sqft,2 BHK
"Kalipark, Rajarhat, Kolkata East","3 Bedroom House in Kalipark, Rajarhat",₹73 Lac,"1,727 sqft",3 BHK
On Request,"4 BHK Flat in Kestopur, Kolkata",₹95 Lac,"1,840 sqft",4 BHK
"residential apartment,Airport","2 BHK Flat in Airport, Dum Dum",₹28 Lac,800 sqft,2 BHK
"Ideal AquaView
3.7","2 BHK Flat in New Town, Kolkata",₹85 Lac,"1,085 sqft",2 BHK
On Request,"3 BHK Flat in Mukundapur, Kolkata",₹55 Lac,"1,130 sqft",3 BHK
"PS Amistad
3.8","3 BHK Flat in New Town, Kolkata",₹1.42 Cr,"1,074 sqft",3 BHK
"Shrachi Greenwood Elements
3.9","3 BHK Flat in New Town, Kolkata",₹1.8 Cr,"2,114 sqft",3 BHK
Binayak 1108,"3 BHK Flat in Nayabad, Kolkata",₹50 Lac,"1,108 sqft",3 BHK
Binayak Bishnupriya,"3 BHK Flat in Nayabad, Kolkata",₹48.59 Lac,"1,130 sqft",3 BHK
Moni Gold,"3 BHK Flat in Purbalok, EM Bypass",₹84.5 Lac,"1,300 sqft",3 BHK
jaysree apartment,"3 BHK Flat in Purbalok, EM Bypass",₹67 Lac,"1,118 sqft",3 BHK
Binayak Astra,"2 BHK Flat in Nayabad, Kolkata",₹38.25 Lac,850 sqft,2 BHK
"Siddha Town
3.8","3 BHK Flat in Rajarhat, Kolkata",₹45 Lac,"1,010 sqft",3 BHK
Dashdrone,"2 BHK Flat in Rajarhat, Kolkata",₹31 Lac,821 sqft,2 BHK
"NBCC Vibgyor Towers
3.7","2 BHK Flat in New Town, Kolkata",₹77 Lac,"1,200 sqft",2 BHK
"Bengal Dcl Uttara
3.8","3 BHK Flat in New Town, Kolkata",₹1.75 Cr,"2,635 sqft",3 BHK
"DLF New Town Heights
3.8","3 BHK Flat in New Town, Kolkata",₹1.12 Cr,"1,525 sqft",3 BHK
WBIDFC Sankalpa 2,"3 BHK Flat in Rajarhat, Kolkata",₹1.42 Cr,"1,453 sqft",3 BHK
S Residency,"2 BHK Flat in Action Area 2, Kolkata",₹66 Lac,980 sqft,2 BHK
Space Clubtown Gateway,"2 BHK Flat in New Town, Kolkata",₹73 Lac,"1,175 sqft",2 BHK
Aster Green,"4 BHK Flat in Rajarhat, Kolkata",₹1.12 Cr,"1,778 sqft",4 BHK
Hiland Woods,"2 BHK Flat in Action Area 2, Kolkata",₹60 Lac,770 sqft,2 BHK
Rameswara Waterview,"2 BHK Flat in Chotto Chandpur, Kolkata",₹42 Lac,905 sqft,2 BHK
Akash Apartment,"3 BHK Flat in Action Area 1, Kolkata",₹87 Lac,"1,342 sqft",3 BHK
"Unimark Lakewood Estate
3.8","3 BHK Flat in EM Bypass, Kolkata South",₹1.42 Cr,"1,111 sqft",3 BHK
Stand alone,"3 BHK Flat in Action Area 1, Kolkata",₹1.6 Cr,"1,750 sqft",3 BHK
Realtech Fortune Square,"3 BHK Flat in Rajarhat, Kolkata",₹72 Lac,"1,103 sqft",3 BHK
"Siddha Town
3.8","2 BHK Flat in Rajarhat, Kolkata",₹37 Lac,840 sqft,2 BHK
Rohra nibas,"3 BHK Flat in New Town, Kolkata",₹75 Lac,"1,295 sqft",3 BHK
"Unimark Springfield
3.7","3 BHK Flat in Rajarhat, Kolkata",₹71 Lac,"1,355 sqft",3 BHK
Tirath project,"2 BHK Flat in RAJARHAT MAIN ROAD, Kolkata East",₹45 Lac,"1,020 sqft",2 BHK
Gurukul Heights,"3 BHK Flat in Action Area 3, Kolkata",₹97 Lac,"1,250 sqft",3 BHK
"PS Amistad
3.8","3 BHK Flat in New Town, Kolkata",₹1.42 Cr,"1,074 sqft",3 BHK
Sucasa Wood,"3 BHK Flat in Narendrapur, Kolkata",₹54 Lac,"1,166 sqft",3 BHK
Cooperative society,"3 BHK Flat in Co-opearative society, Kolkata East",₹87 Lac,"1,100 sqft",3 BHK
Shrachi Greenwood Park Extension,"2 BHK Flat in New Town, Kolkata",₹87 Lac,"1,050 sqft",2 BHK
Purti Hastings,"4 BHK Flat in Alipore, Kolkata",₹2.54 Cr,"2,206 sqft",4 BHK
"Om Residency, Hind Motor","2 BHK Flat in Hindmotor, Uttarpara",₹23.65 Lac,946 sqft,2 BHK
Realmark Oracle,"2 BHK Flat in Narendrapur, Kolkata",₹53 Lac,960 sqft,2 BHK
On Request New,"3 BHK Flat in Sakher Bazar, Barisha",₹54 Lac,"1,200 sqft",3 BHK
"Prasad Rare Earth
3.5","3 BHK Flat in Kankurgachi, Kolkata",₹2.74 Cr,"1,309 sqft",3 BHK
"C Plaza, New Booking","3 BHK Flat in Barrackpore, Kolkata",₹42.14 Lac,"1,109 sqft",3 BHK
Mondal Plaza New BOOKING Sodepur,"3 BHK Flat in Sodepur, Kolkata North",₹33 Lac,"1,100 sqft",3 BHK
"Sattaranjan Plaza NEW BOOKING, Belgharia","2 BHK Flat in Belgharia, BT Road",₹28.4 Lac,710 sqft,2 BHK
"Unimark Springfield
3.7","3 BHK Flat in Rajarhat, Kolkata",₹75 Lac,"1,256 sqft",3 BHK
"Bengal Abasan Urban Sabujayan
3.9","4 BHK Flat in Mukundapur, Kolkata",₹1.05 Cr,"1,794 sqft",4 BHK
Eden Brookside,"3 BHK Flat in Thakurpukur, Kolkata",₹46 Lac,"1,219 sqft",3 BHK
Siddhaye Apartment II,"2 BHK Flat in Bhadrakali, Uttarpara",₹27.06 Lac,820 sqft,2 BHK
krishnokunja,"2 BHK Flat in Silpara, Barisha",₹29.5 Lac,900 sqft,2 BHK
Rani Kuthi,"2 BHK Flat in Madhyamgram, Kolkata",₹24.68 Lac,748 sqft,2 BHK
On Request,"2 BHK Flat in Saha Para, Fartabad, Garia",₹32.43 Lac,791 sqft,2 BHK
Mini Complex,"2 BHK Flat in James Long Sarani, Kolkata",₹44 Lac,900 sqft,2 BHK
Raj Nandini Apartment,"2 BHK Flat in Behala, Kolkata",₹27 Lac,860 sqft,2 BHK
sonar kella ananda park,"2 BHK Flat in Boral, Kolkata",₹28.5 Lac,710 sqft,2 BHK
"Patuli, EM Bypass, Kolkata South","2 BHK Independent Builder Floor in Patuli, EM Bypass",₹60 Lac,"1,069 sqft",2 BHK
"Siddha Eden LakeVille
3.9","3 BHK Flat in BT Road, Kolkata",₹1.2 Cr,"1,374 sqft",3 BHK
Subhasree apartment,"2 BHK Flat in New Barrakpur, Kolkata",₹23.79 Lac,881 sqft,2 BHK
"Bengal Abasan Urban Sabujayan
3.9","3 BHK Flat in Mukundapur, Kolkata",₹66.5 Lac,"1,200 sqft",3 BHK
"Bengal Abasan Urban Sabujayan
3.9","3 BHK Flat in Mukundapur, Kolkata",₹65 Lac,"1,256 sqft",3 BHK
Nirvana Apartment,"2 BHK Flat in Hindmotor, Uttarpara",₹19.57 Lac,725 sqft,2 BHK
On Request,"2 BHK Independent Builder Floor in Patuli, EM Bypass",₹54.9 Lac,915 sqft,2 BHK
gupta mansion,"2 BHK Flat in Anandalok, Sodepur",₹28.5 Lac,994 sqft,2 BHK
Subhasree apartment,"2 BHK Flat in New Barrakpur, Kolkata",₹21.87 Lac,810 sqft,2 BHK
On Request,"3 BHK Flat in Santoshpur, Kolkata",₹50 Lac,"1,100 sqft",3 BHK
On Request,"2 BHK Independent Builder Floor in Sakher Bazar, Barisha",₹41 Lac,906 sqft,2 BHK
"Bengal Shapoorji Shukhobristhi
4.3","1 BHK Flat in New Town, Kolkata",₹23.2 Lac,420 sqft,1 BHK
Nabadiganta apartment,"3 BHK Flat in Kaikhali, VIP Road",₹75 Lac,"1,339 sqft",3 BHK
"Unimark Lakewood Estate
3.8","3 BHK Flat in EM Bypass, Kolkata South",₹1.15 Cr,"1,158 sqft",3 BHK
Sree Ganesh Apartment,"2 BHK Flat in Konnagar, Hooghly",₹20.62 Lac,825 sqft,2 BHK
Sree Ganesh Apartment,"2 BHK Flat in Konnagar, Hooghly",₹17.5 Lac,700 sqft,2 BHK
Sree Ganesh Apartment,"2 BHK Flat in Konnagar, Hooghly",₹18.12 Lac,725 sqft,2 BHK
Prafulla Gita Apartment 2,"2 BHK Flat in Konnagar, Hooghly",₹18.75 Lac,750 sqft,2 BHK
Kavi Nazrul Metro,"2 BHK Independent Builder Floor in Garia, Kolkata",₹49.5 Lac,821 sqft,2 BHK
Jai Hanuman Apartment III,"2 BHK Flat in Hindmotor, Uttarpara",₹16.64 Lac,640 sqft,2 BHK
Raj Rajeshwari Apartment - New Booking,"1 BHK Flat in Konnagar, Hooghly",₹11 Lac,385 sqft,1 BHK
Shanti Niwas,"3 BHK Flat in Konnagar, Hooghly",₹33.6 Lac,"1,120 sqft",3 BHK
Jai Hanuman Apartment 1,"2 BHK Flat in Konnagar, Hooghly",₹19.83 Lac,763 sqft,2 BHK
Mannat 1,"2 BHK Flat in Konnagar, Hooghly",₹23.8 Lac,850 sqft,2 BHK
Standalone Building CA,"2 BHK Flat in New Town, Kolkata",₹70 Lac,"1,050 sqft",2 BHK
gupta mansion,"2 BHK Flat in Anandalok, Sodepur",₹26.3 Lac,916 sqft,2 BHK
"Unimark Lakewood Estate
3.8","3 BHK Flat in EM Bypass, Kolkata South",₹1.2 Cr,"1,228 sqft",3 BHK
Classic Tower,"3 BHK Flat in Ballygunge, Kolkata",₹2.2 Cr,"2,200 sqft",3 BHK
Sree Ganesh Apartment,"3 BHK Flat in Konnagar, Hooghly",₹26.25 Lac,"1,050 sqft",3 BHK
Jai Hanuman Apartment,"3 BHK Flat in Konnagar, Hooghly",₹28.41 Lac,"1,093 sqft",3 BHK
Jai Hanuman Apartment,"2 BHK Flat in Konnagar, Hooghly",₹18.56 Lac,714 sqft,2 BHK
Residential Apartment,"3 BHK Flat in Southern Avenue, Kolkata",₹1.45 Cr,"1,215 sqft",3 BHK
on request,"2 BHK Flat in DD Block Newtown, Action Area 1",₹60 Lac,840 sqft,2 BHK
